,ID,rms,mean,rms2,mean2
0,0,50.635955604688654,45.2,7.1158945751527725,3.8
1,1,47.5562824451197,42.4,6.896106324957563,3.4
2,2,41.23105625617661,35.2,6.4211413515181714,4.6
3,3,36.18563250794437,31.0,6.0154494851128435,12.0
4,4,45.13756750202651,36.6,6.718449784141169,14.2
5,5,48.88967171090434,45.0,6.992114966939855,16.0
6,6,44.14068418137626,35.6,6.643845586810116,17.6
7,7,54.36359075704989,46.2,7.373166942166025,15.8
8,8,52.0807066004293,40.8,7.216696377181827,9.6
9,9,62.32335035923534,47.0,7.894513940657483,10.6
10,10,59.42558371610665,38.6,7.7087991098553506,13.2
11,11,62.59872203168368,47.4,7.911935416298826,11.4
12,12,60.56731791981547,45.6,7.782500749747183,11.2
13,13,61.02786248919423,47.6,7.812033185361813,11.8
14,14,66.17854637267277,50.4,8.135019752445151,10.2
15,15,71.92635122123184,63.0,8.480940467968859,10.0
16,16,71.68681887209112,62.6,8.466806887610648,11.8
17,17,70.64134766551386,61.4,8.404840728146718,11.8
18,18,73.8836923820135,68.0,8.595562365663662,12.6
19,19,57.51869261379295,56.8,7.584107898348556,15.0
20,20,51.10185906598702,48.6,7.14855643231464,12.2
21,21,51.78609852074203,49.4,7.196255868209664,10.2
22,22,57.42647473073722,53.8,7.578025780553746,10.0
23,23,68.10873659083687,62.8,8.252801741883593,7.4
24,24,64.04061211450122,58.0,8.002537854612198,4.0
25,25,85.93253167456432,79.6,9.269980133450359,3.8
26,26,85.5219270129012,78.8,9.247806605509288,6.2
27,27,80.6337398363737,72.6,8.979629159178774,6.8
28,28,72.59338812867189,64.6,8.520175357859243,6.4
29,29,78.09865555821047,71.4,8.837344372503,5.8
30,30,62.00322572253802,60.4,7.874212704933619,4.4
31,31,65.08302390024606,64.2,8.067405028895354,2.2
32,32,62.1353361622837,59.2,7.8825970442668005,4.0
33,33,60.91797764207213,57.8,7.8049969661795595,4.2
34,34,54.35991169970753,51.8,7.372917448317696,4.8
35,35,63.19177161624763,57.6,7.949325230247384,4.0
36,36,58.557663887829406,51.4,7.652297948187159,5.4
37,37,68.18210909028849,62.8,8.257245853811577,5.6
38,38,77.65693787421701,72.2,8.812317395226808,5.4
39,39,77.9089211836488,72.6,8.826603037615818,7.4
40,40,66.53420173113976,62.0,8.156849988269967,10.2
41,41,68.07348970047003,64.8,8.25066601556929,8.8
42,42,71.64077051511939,67.6,8.464087104651002,6.4
43,43,64.40807402802851,61.6,8.025464100475967,7.4
44,44,71.60726220153931,68.8,8.462107432639893,5.6
45,45,70.19544144743304,66.6,8.37827198457015,4.0
46,46,70.32211600911907,66.8,8.385828284022937,4.0
47,47,62.619485785177126,60.4,7.913247486662927,3.8
48,48,55.030900410587506,48.0,7.4182814998210675,5.6
49,49,39.9274341775176,33.8,6.3188158841287345,6.6
