rms,mean,rms2,mean2,class
67.2755527662167,58,8.20216756511452,4.75,0
71.0923694920911,66.125,8.43162911257908,3.375,0
68.04502186053,62.125,8.24894065080662,4.5,0
67.5795827154918,61.5,8.22068018569582,4.25,0
65.6201188660917,60,8.10062459728209,5.125,0
55.505630345038,47.625,7.45021008730881,6.125,0
52.961070608514,44.625,7.27743571654975,6.5,0
44.3269105623209,34.625,6.65784578991741,7.5,0
48.4187463695623,40.375,6.95835802251956,6.75,0
48.251942966061,40.25,6.94636185107434,6.25,0
50.082432049572,42.25,7.07689423755732,5.125,0
50.3264344057872,42.5,7.09411265809806,5.625,0
57.0328852505289,46.25,7.5520120001579,4.25,0
57.0328852505289,46.25,7.5520120001579,9,0
56.9594153762133,46.125,7.54714617429749,9.625,0
60.1830540933243,52.75,7.75777378461916,9.125,0
75.3657747256671,63.25,8.68134636595425,9.875,0
74.953318805774,62.75,8.65755847833406,14.625,0
77.8901470020439,66.125,8.82553947371173,15.75,0
87.7923686888559,75.5,9.36975819799294,15.75,0
80.1280225638946,67.25,8.95142572799968,16.5,0
83.7593278387548,75.875,9.15201222894478,12,0
83.9136460892983,76.25,9.16043918648545,11.5,0
86.5072251317773,79.5,9.30092603624915,11.375,0
77.756028705175,73.25,8.81793789415502,10.5,0
77.9519082511775,73.5,8.82903778739096,5.75,0
72.7847854980696,65.125,8.53139997292763,4.875,0
58.0140069293615,51.125,7.61669265031493,6.5,0
60.4731345309634,53.75,7.77644742353238,5.625,0
72.6154253585283,61.75,8.52146849777246,4.375,0
74.2773518644816,64.375,8.61843093982203,3.625,0
76.4787552199956,66.25,8.74521327470037,3.375,0
69.7208720542134,56.75,8.34990251764734,4.125,0
70.178344238091,57.25,8.37725159214471,4.5,0
70.9357103298473,59.625,8.42233401913313,4.5,0
75.9687435726036,67.75,8.71600502366787,2.375,0
72.4007941945391,60.875,8.50886562325079,3.125,0
55.0931030166209,45,7.42247283704163,3.875,0
53.9003710562367,43.75,7.34168720773616,3.875,0
51.1309593103826,42.125,7.15059153569707,3.625,0
53.7587202228625,46.5,7.33203383945154,3.25,0
54.069399848713,46.75,7.35318977374533,4.375,0
52.8724881200043,42.75,7.27134706364676,5.5,0
51.2847443203142,41.625,7.16133676908957,7.75,0
55.2279367711668,47.625,7.43155009208488,8.75,0
59.9176518231481,55.125,7.74064931534481,9.125,0
62.5229957695567,57.875,7.90714839683414,9,0
66.1371680675851,60.375,8.13247613384664,9.625,0
64.703168392282,58,8.04382796883934,10,0
70.0642562224134,62.25,8.37043942827457,9.125,0
50.6359556046887,45.2,7.11589457515277,3.8,1
47.5562824451197,42.4,6.89610632495756,3.4,1
41.2310562561766,35.2,6.42114135151817,4.6,1
36.1856325079444,31,6.01544948511284,12,1
45.1375675020265,36.6,6.71844978414117,14.2,1
48.8896717109043,45,6.99211496693986,16,1
44.1406841813763,35.6,6.64384558681012,17.6,1
54.3635907570499,46.2,7.37316694216603,15.8,1
52.0807066004293,40.8,7.21669637718183,9.6,1
62.3233503592353,47,7.89451394065748,10.6,1
59.4255837161067,38.6,7.70879910985535,13.2,1
62.5987220316837,47.4,7.91193541629883,11.4,1
60.5673179198155,45.6,7.78250074974718,11.2,1
61.0278624891942,47.6,7.81203318536181,11.8,1
66.1785463726728,50.4,8.13501975244515,10.2,1
71.9263512212318,63,8.48094046796886,10,1
71.6868188720911,62.6,8.46680688761065,11.8,1
70.6413476655139,61.4,8.40484072814672,11.8,1
73.8836923820135,68,8.59556236566366,12.6,1
57.518692613793,56.8,7.58410789834856,15,1
51.101859065987,48.6,7.14855643231464,12.2,1
51.786098520742,49.4,7.19625586820966,10.2,1
57.4264747307372,53.8,7.57802578055375,10,1
68.1087365908369,62.8,8.25280174188359,7.4,1
64.0406121145012,58,8.0025378546122,4,1
85.9325316745643,79.6,9.26998013345036,3.8,1
85.5219270129012,78.8,9.24780660550929,6.2,1
80.6337398363737,72.6,8.97962915917877,6.8,1
72.5933881286719,64.6,8.52017535785924,6.4,1
78.0986555582105,71.4,8.837344372503,5.8,1
62.003225722538,60.4,7.87421270493362,4.4,1
65.0830239002461,64.2,8.06740502889535,2.2,1
62.1353361622837,59.2,7.8825970442668,4,1
60.9179776420721,57.8,7.80499696617956,4.2,1
54.3599116997075,51.8,7.3729174483177,4.8,1
63.1917716162476,57.6,7.94932523024738,4,1
58.5576638878294,51.4,7.65229794818716,5.4,1
68.1821090902885,62.8,8.25724585381158,5.6,1
77.656937874217,72.2,8.81231739522681,5.4,1
77.9089211836488,72.6,8.82660303761582,7.4,1
66.5342017311398,62,8.15684998826997,10.2,1
68.07348970047,64.8,8.25066601556929,8.8,1
71.6407705151194,67.6,8.464087104651,6.4,1
64.4080740280285,61.6,8.02546410047597,7.4,1
71.6072622015393,68.8,8.46210743263989,5.6,1
70.195441447433,66.6,8.37827198457015,4,1
70.3221160091191,66.8,8.38582828402294,4,1
62.6194857851771,60.4,7.91324748666293,3.8,1
55.0309004105875,48,7.41828149982107,5.6,1
39.9274341775176,33.8,6.31881588412873,6.6,1
23.2292918531754,16.4,4.8196775673457,7,2
23.177575369309,16,4.81430943846665,6.8,2
35.0057138193181,23.4,5.91656266926314,4.8,2
39.8170817614752,30.6,6.31007779361516,3.8,2
56.6162520836553,48.6,7.52437718908717,3,2
56.1747274136689,48,7.49498014765008,5,2
62.2478915305571,59.6,7.88973329907653,3.6,2
58.4551109827019,55.4,7.6455942203796,7,2
58.7554252814155,55.8,7.66520875654509,7.4,2
49.1467191173531,48.6,7.01047210374259,6.8,2
45.7777238403134,40.8,6.76592372409809,9.4,2
42.6309746545865,38.2,6.52923997526408,10.8,2
46.3702490827901,41.4,6.80957040368848,7.6,2
59.2655043005626,51.2,7.69840920584003,8.2,2
58.7315928610829,50.6,7.66365401496459,9.6,2
61.264998163715,58.2,7.82719606013003,6.8,2
60.9639237582359,57.8,7.8079397896139,5.6,2
66.1392470474226,62.4,8.13260395245106,8.2,2
52.9093564504427,49.8,7.2738818006923,9,2
54.1202365109392,51,7.35664573776251,7,2
54.881690936049,52,7.40821779755759,6,2
54.4040439673376,51.4,7.37590970439156,5.8,2
41.8353917156276,40.6,6.46802842569724,4.8,2
48.2369153242618,46.8,6.94528007529299,3.4,2
45.6289381861993,44.4,6.754919554384,3.4,2
41.206795556073,36.4,6.41925194676709,3.6,2
43.6692111217961,38.6,6.6082683905692,11.4,2
65.8634952003005,55.6,8.1156327664761,11,2
72.2869282789081,61.4,8.50217197420213,10.4,2
69.5212197821644,54,8.33793858109811,11.8,2
69.6419413859206,55.2,8.34517473669189,12.6,2
67.8837241170518,52.6,8.23915797378906,5.4,2
46.5381563880651,35.4,6.82188803690482,8.8,2
24.6251903545942,21.6,4.96237749013456,10.2,2
40.0224936754321,34.2,6.32633335158938,9.6,2
47.9770778601615,44.2,6.92654876978149,8.2,2
47.6508132144668,43.8,6.90295684576304,8.4,2
45.9760807377053,38.2,6.78056640242579,5.2,2
53.7419761452814,47,7.33089190653371,5.6,2
49.4145727493419,43.4,7.02954996776763,5.4,2
49.9059114734918,43.8,7.06441161551985,6,2
52.3698386478324,46.6,7.23670081237524,7.2,2
52.3698386478324,46.6,7.23670081237524,7.4,2
46.477951762099,41,6.81747400157118,6,2
43.2689264946567,37.8,6.57791201633593,6.8,2
52.8791074054773,43.8,7.27180221165821,5.8,2
54.1128450554949,45,7.35614335474064,4.2,2
54.1590251020086,46,7.35928156153905,4,2
