,ID,rms,rms2
0,0,23.22929185317538,4.8196775673457015
1,1,23.177575369309018,4.814309438466645
2,2,35.005713819318125,5.916562669263136
3,3,39.81708176147519,6.310077793615162
4,4,56.616252083655276,7.524377189087166
5,5,56.17472741366886,7.494980147650083
6,6,62.247891530557084,7.889733299076534
7,7,58.45511098270193,7.645594220379599
8,8,58.7554252814155,7.665208756545089
9,9,49.14671911735309,7.010472103742592
10,10,45.77772384031342,6.765923724098094
11,11,42.63097465458654,6.529239975264084
12,12,46.37024908279014,6.809570403688483
13,13,59.26550430056257,7.698409205840033
14,14,58.731592861082866,7.663654014964589
15,15,61.264998163714985,7.827196060130025
16,16,60.9639237582359,7.807939789613896
17,17,66.1392470474226,8.13260395245106
18,18,52.90935645044268,7.273881800692301
19,19,54.120236510939236,7.356645737762506
20,20,54.881690936048976,7.408217797557587
21,21,54.40404396733758,7.375909704391559
22,22,41.83539171562757,6.468028425697244
23,23,48.23691532426177,6.945280075292988
24,24,45.628938186199335,6.754919554384
25,25,41.20679555607303,6.419251946767087
26,26,43.669211121796096,6.6082683905692035
27,27,65.86349520030045,8.115632766476097
28,28,72.28692827890808,8.502171974202126
29,29,69.52121978216435,8.33793858109811
30,30,69.6419413859206,8.345174736691893
31,31,67.8837241170518,8.239157973789057
32,32,46.538156388065055,6.8218880369048165
33,33,24.625190354594217,4.962377490134564
34,34,40.02249367543207,6.326333351589376
35,35,47.977077860161515,6.926548769781493
36,36,47.65081321446676,6.902956845763035
37,37,45.976080737705345,6.780566402425785
38,38,53.74197614528144,7.330891906533709
39,39,49.41457274934187,7.029549967767629
40,40,49.90591147349179,7.064411615519851
41,41,52.369838647832395,7.236700812375235
42,42,52.369838647832395,7.236700812375235
43,43,46.47795176209898,6.817474001571182
44,44,43.26892649465665,6.577912016335932
45,45,52.87910740547726,7.271802211658212
46,46,54.11284505549491,7.3561433547406425
47,47,54.15902510200862,7.359281561539048
48,48,52.1957852704603,7.224665062856568
49,49,50.65372641770791,7.1171431359575665
