,ID,rms,mean,rms2,mean2
0,0,67.27555276621665,58.0,8.20216756511452,4.75
1,1,71.09236949209107,66.125,8.43162911257908,3.375
2,2,68.04502186052996,62.125,8.24894065080662,4.5
3,3,67.57958271549181,61.5,8.220680185695818,4.25
4,4,65.62011886609167,60.0,8.100624597282094,5.125
5,5,55.50563034503797,47.625,7.450210087308812,6.125
6,6,52.96107060851395,44.625,7.277435716549748,6.5
7,7,44.32691056232094,34.625,6.657845789917407,7.5
8,8,48.41874636956228,40.375,6.9583580225195565,6.75
9,9,48.251942966060966,40.25,6.946361851074342,6.25
10,10,50.082432049572034,42.25,7.0768942375573225,5.125
11,11,50.32643440578718,42.5,7.094112658098064,5.625
12,12,57.03288525052893,46.25,7.5520120001579,4.25
13,13,57.03288525052893,46.25,7.5520120001579,9.0
14,14,56.959415376213265,46.125,7.547146174297492,9.625
15,15,60.18305409332431,52.75,7.757773784619162,9.125
16,16,75.3657747256671,63.25,8.681346365954251,9.875
17,17,74.95331880577403,62.75,8.657558478334064,14.625
18,18,77.89014700204385,66.125,8.825539473711725,15.75
19,19,87.79236868885587,75.5,9.369758197992939,15.75
20,20,80.12802256389459,67.25,8.951425727999679,16.5
21,21,83.75932783875477,75.875,9.152012228944779,12.0
22,22,83.91364608929825,76.25,9.160439186485453,11.5
23,23,86.50722513177729,79.5,9.300926036249148,11.375
24,24,77.75602870517501,73.25,8.817937894155017,10.5
25,25,77.95190825117753,73.5,8.829037787390964,5.75
26,26,72.78478549806958,65.125,8.53139997292763,4.875
27,27,58.014006929361464,51.125,7.6166926503149295,6.5
28,28,60.473134530963414,53.75,7.776447423532382,5.625
29,29,72.61542535852834,61.75,8.521468497772455,4.375
30,30,74.27735186448155,64.375,8.618430939822025,3.625
31,31,76.47875521999558,66.25,8.74521327470037,3.375
32,32,69.72087205421343,56.75,8.349902517647342,4.125
33,33,70.178344238091,57.25,8.377251592144706,4.5
34,34,70.93571032984727,59.625,8.422334019133134,4.5
35,35,75.9687435726036,67.75,8.716005023667874,2.375
36,36,72.40079419453906,60.875,8.50886562325079,3.125
37,37,55.09310301662087,45.0,7.422472837041633,3.875
38,38,53.90037105623671,43.75,7.341687207736156,3.875
39,39,51.130959310382586,42.125,7.15059153569707,3.625
40,40,53.75872022286245,46.5,7.332033839451538,3.25
41,41,54.06939984871295,46.75,7.353189773745333,4.375
42,42,52.87248812000434,42.75,7.2713470636467585,5.5
43,43,51.2847443203142,41.625,7.1613367690895675,7.75
44,44,55.22793677116682,47.625,7.431550092084882,8.75
45,45,59.91765182314808,55.125,7.74064931534481,9.125
46,46,62.52299576955666,57.875,7.9071483968341365,9.0
47,47,66.13716806758511,60.375,8.132476133846636,9.625
48,48,64.703168392282,58.0,8.043827968839338,10.0
49,49,70.06425622241343,62.25,8.370439428274565,9.125
