ID,Time,Sensorvalue,Voltage
0,214655,1.0,0.0048875855
1,214656,6.0,0.029325513
2,214656,5.0,0.024437927
3,214656,0.0,0.0
4,214656,1.0,0.0048875855
5,214656,3.0,0.014662757
6,214656,12.0,0.058651026
7,214656,23.0,0.112414464
8,214656,122.0,0.59628546
9,214656,39.0,0.19061583
10,214656,9.0,0.04398827
11,214657,166.0,0.8113392
12,214657,46.0,0.22482893
13,214657,21.0,0.102639295
14,214657,43.0,0.21016617
15,214657,14.0,0.0684262
16,214657,18.0,0.08797654
17,214657,41.0,0.20039101
18,214657,35.0,0.1710655
19,214657,32.0,0.15640274
20,214657,27.0,0.1319648
21,214658,39.0,0.19061583
22,214658,71.0,0.34701857
23,214658,169.0,0.82600194
24,214658,81.0,0.39589444
25,214658,10.0,0.048875853
26,214658,1.0,0.0048875855
27,214658,0.0,0.0
28,214658,14.0,0.0684262
29,214658,3.0,0.014662757
30,214658,5.0,0.024437927
31,214659,4.0,0.019550342
32,214659,2.0,0.009775171
33,214659,15.0,0.07331378
34,214659,11.0,0.05376344
35,214659,5.0,0.024437927
36,214659,2.0,0.009775171
37,214659,14.0,0.0684262
38,214659,0.0,0.0
39,214659,0.0,0.0
40,214659,12.0,0.058651026
41,21470,0.0,0.0
42,21470,1.0,0.0048875855
43,21470,10.0,0.048875853
44,21470,1.0,0.0048875855
45,21470,0.0,0.0
46,21470,6.0,0.029325513
47,21470,1.0,0.0048875855
48,21470,0.0,0.0
49,21470,6.0,0.029325513
50,21470,10.0,0.048875853
51,21471,1.0,0.0048875855
52,21471,1.0,0.0048875855
53,21471,4.0,0.019550342
54,21471,0.0,0.0
55,21471,3.0,0.014662757
56,21471,6.0,0.029325513
57,21471,4.0,0.019550342
58,21471,11.0,0.05376344
59,21471,16.0,0.07820137
60,21471,2.0,0.009775171
61,21472,9.0,0.04398827
62,21472,2.0,0.009775171
63,21472,6.0,0.029325513
64,21472,2.0,0.009775171
65,21472,10.0,0.048875853
66,21472,5.0,0.024437927
67,21472,5.0,0.024437927
68,21472,10.0,0.048875853
69,21472,2.0,0.009775171
70,21472,15.0,0.07331378
71,21473,6.0,0.029325513
72,21473,0.0,0.0
73,21473,5.0,0.024437927
74,21473,9.0,0.04398827
75,21473,10.0,0.048875853
76,21473,19.0,0.092864126
77,21473,1.0,0.0048875855
78,21473,7.0,0.0342131
79,21473,38.0,0.18572825
80,21473,36.0,0.17595308
81,21474,56.0,0.2737048
82,21474,24.0,0.11730205
83,21474,5.0,0.024437927
84,21474,53.0,0.25904202
85,21474,37.0,0.18084067
86,21474,46.0,0.22482893
87,21474,45.0,0.21994135
88,21474,108.0,0.5278592
89,21474,14.0,0.0684262
90,21474,219.0,1.0703813
91,21475,18.0,0.08797654
92,21475,94.0,0.45943305
93,21475,150.0,0.73313785
94,21475,183.0,0.89442813
95,21475,5.0,0.024437927
96,21475,132.0,0.6451613
97,21475,35.0,0.1710655
98,21475,33.0,0.16129032
99,21475,31.0,0.15151516
100,21475,15.0,0.07331378
101,21476,5.0,0.024437927
102,21476,10.0,0.048875853
103,21476,16.0,0.07820137
104,21476,34.0,0.16617791
105,21476,20.0,0.09775171
106,21476,10.0,0.048875853
107,21476,2.0,0.009775171
108,21476,0.0,0.0
109,21476,11.0,0.05376344
110,21476,8.0,0.039100684
111,21477,5.0,0.024437927
112,21477,1.0,0.0048875855
113,21477,13.0,0.06353861
114,21477,13.0,0.06353861
115,21477,1.0,0.0048875855
116,21477,0.0,0.0
117,21477,11.0,0.05376344
118,21477,11.0,0.05376344
119,21477,1.0,0.0048875855
120,21477,10.0,0.048875853
121,21478,10.0,0.048875853
122,21478,0.0,0.0
123,21478,10.0,0.048875853
124,21478,4.0,0.019550342
125,21478,3.0,0.014662757
126,21478,6.0,0.029325513
127,21478,3.0,0.014662757
128,21478,1.0,0.0048875855
129,21478,1.0,0.0048875855
130,21478,7.0,0.0342131
131,21479,13.0,0.06353861
132,21479,2.0,0.009775171
133,21479,1.0,0.0048875855
134,21479,4.0,0.019550342
135,21479,13.0,0.06353861
136,21479,6.0,0.029325513
137,21479,10.0,0.048875853
138,21479,7.0,0.0342131
139,21479,9.0,0.04398827
140,21479,8.0,0.039100684
141,214710,3.0,0.014662757
142,214710,7.0,0.0342131
143,214710,4.0,0.019550342
144,214710,75.0,0.36656892
145,214710,79.0,0.38611925
146,214710,80.0,0.39100683
147,214710,3.0,0.014662757
148,214710,15.0,0.07331378
149,214710,39.0,0.19061583
150,214710,35.0,0.1710655
151,214711,5.0,0.024437927
152,214711,19.0,0.092864126
153,214711,46.0,0.22482893
154,214711,30.0,0.14662756
155,214711,21.0,0.102639295
156,214711,18.0,0.08797654
157,214711,64.0,0.31280547
158,214711,6.0,0.029325513
159,214711,90.0,0.4398827
160,214711,11.0,0.05376344
161,214712,3.0,0.014662757
162,214712,57.0,0.27859238
163,214712,10.0,0.048875853
164,214712,22.0,0.10752688
165,214712,53.0,0.25904202
166,214712,14.0,0.0684262
167,214712,23.0,0.112414464
168,214712,99.0,0.48387095
169,214712,3.0,0.014662757
170,214712,1.0,0.0048875855
171,214713,8.0,0.039100684
172,214713,0.0,0.0
173,214713,10.0,0.048875853
174,214713,4.0,0.019550342
175,214713,5.0,0.024437927
176,214713,2.0,0.009775171
177,214713,2.0,0.009775171
178,214713,2.0,0.009775171
179,214713,0.0,0.0
180,214714,3.0,0.014662757
181,214714,1.0,0.0048875855
182,214714,4.0,0.019550342
183,214714,5.0,0.024437927
184,214714,0.0,0.0
185,214714,8.0,0.039100684
186,214714,5.0,0.024437927
187,214714,6.0,0.029325513
188,214714,1.0,0.0048875855
189,214714,0.0,0.0
190,214715,10.0,0.048875853
191,214715,2.0,0.009775171
